Place, Starters, Points, Points Total, First Name, Last Name, Category, Event, Race, Date, Notes
3,21, 5, 5,"Megan"	,"Faris"	,"1/2"	,"GPTB: Zaandercross at Frenchmans Bar"	,"Women A"	,2012-09-22,""
6,23, 2, 7,"Megan"	,"Faris"	,"1/2"	,"Battle at Barlow"	,"Women A"	,2012-09-30,""
6,37, 2, 9,"Megan"	,"Faris"	,"1/2"	,"Alpenrose"	,"Women A"	,2012-10-07,""
6,40, 2,11,"Megan"	,"Faris"	,"1/2"	,"Rainier"	,"Women A"	,2012-10-14,""
6,44, 2,13,"Megan"	,"Faris"	,"1/2"	,"PIR (Heron Lakes)"	,"Women A"	,2012-10-21,""
4,37, 4,17,"Megan"	,"Faris"	,"1/2"	,"Deschutes Brewery"	,"Women A"	,2012-10-27,""
5,35, 3,20,"Megan"	,"Faris"	,"1/2"	,"Barton Park"	,"Women A"	,2012-11-04,""
7,29, 1, 1,"Megan"	,"Faris"	,"1"	,"Washington County Fair Complex"	,"Women A"	,2012-11-11,"UPGRADED TO 1 WITH 20 POINTS"
2,18, 4, 5,"Megan"	,"Faris"	,"1"	,"Het Meer CX Race"	,"Women A"	,2013-09-07,""
1,17, 5,10,"Megan"	,"Faris"	,"1"	,"Hood River Double Cross"	,"Women A"	,2013-09-15,""
1,18, 5,15,"Megan"	,"Faris"	,"1"	,"Blind Date at the Dairy"	,"Women A"	,2013-09-18,""
1,16, 5,20,"Megan"	,"Faris"	,"1"	,"Zaandercross "	,"Women A"	,2013-09-21,""
1,15, 5,25,"Megan"	,"Faris"	,"1"	,"Blind Date at the Dairy"	,"Women A"	,2013-09-25,""
1,11, 5,30,"Megan"	,"Faris"	,"1"	,"Blind Date at the Dairy"	,"Women A"	,2013-10-02,""
6,38, 2,32,"Megan"	,"Faris"	,"1"	,"Alpenrose Dairy"	,"Women A"	,2013-10-06,""
1,15, 5,37,"Megan"	,"Faris"	,"1"	,"Blind Date at the Dairy"	,"Women A"	,2013-10-09,""
4,42, 4,41,"Megan"	,"Faris"	,"1"	,"Rainier"	,"Women A"	,2013-10-13,""
1,14, 5,46,"Megan"	,"Faris"	,"1"	,"Blind Date at the Dairy"	,"Women A"	,2013-10-16,""
5,40, 3,49,"Megan"	,"Faris"	,"1"	,"PIR Heron Lakes"	,"Women A"	,2013-10-20,""
3,31, 5,54,"Megan"	,"Faris"	,"1"	,"Deschutes Brewery"	,"Women A"	,2013-10-26,""
2,28, 6,60,"Megan"	,"Faris"	,"1"	,"Deschutes Brewery"	,"Women A"	,2013-10-27,""
3,38, 5,65,"Megan"	,"Faris"	,"1"	,"Washington County Fair Complex"	,"Women A"	,2013-11-03,""
3,36, 5,70,"Megan"	,"Faris"	,"1"	,"PIR Infield"	,"Women A"	,2013-11-10,""
4,32, 4,28,"Megan"	,"Faris"	,"1"	,"WA County Fairgrounds"	,"Women A"	,2014-10-26,""
7,33, 1,26,"Megan"	,"Faris"	,"1"	,"Deschutes Brewery"	,"Women A"	,2014-11-01,""
5,16, 1, 1,"Jordan"	,"Faulds"	,"4"	,"OBRA CX Championships: GPET: Pedalers At The Poor Farm CX @ Edgefield"	,"Women C"	,2013-11-09,""
3, 6, 1, 1,"Jordan"	,"Faulds"	,"4"	,"Junior Cross Series @Corn Cross"	,"Women C"	,2015-09-13,""
3, 9, 1, 2,"Jordan"	,"Faulds"	,"4"	,"Washougal CX"	,"Women C"	,2015-10-24,""
3,11, 3, 5,"Jordan"	,"Faulds"	,"4"	,"Kruger's Crossing CX"	,"Women C"	,2015-11-22,""
8, ?, 0, 0,"Jordan"	,"Faulds"	,"3"	,"GPCM: DDCX"	,"Masters Women 35+ 3"	,2017-09-02,"UPGRADED TO 3 WITH 0 POINTS"
3,11, 1, 1,"Collin"	,"Faunt"	,"5"	,"Cross on the Mountain"	,"Men 5"	,2017-10-01,""
5,18, 1, 1,"Matt"	,"Faunt"	,"3"	,"Cooper Spur Cyclocross"	,"Category B"	,2015-10-04,"UPGRADED TO 3 WITH 0 POINTS"
1,23, 0, 1,"Matt"	,"Faunt"	,"3"	,"OBRA Cyclocross Championships p/b City of Sandy"	,"Category C"	,2015-11-21,"NO POINTS FOR RACING BELOW CATEGORY"
1,18, 5, 6,"Matt"	,"Faunt"	,"3"	,"Kruger's Crossing CX"	,"Category B"	,2015-11-22,""
4,70, 5, 5,"David"	,"Fee"	,"4"	,"Battle At Barlow"	,"Masters 35+ C"	,2013-09-29,""
70, ?, 0, 0,"David"	,"Fee"	,"3"	,"Heron Lakes"	,"Masters 35+ B"	,2014-10-19,"UPGRADED TO 3 WITH 0 POINTS"
1,79, 0, 0,"David"	,"Fee"	,"3"	,"Kruger's Crossing CX"	,"Masters 35+ C"	,2014-11-23,"NO POINTS FOR RACING BELOW CATEGORY"
23, ?, 0, 0,"David"	,"Fee"	,"4"	,"Wooden Shoe"	,"Men 4"	,2017-11-05,"DOWNGRADED TO 4"
2,42, 6, 6,"Mack"	,"Fee"	,"3/4/5"	,"GP: Zaaldercross"	,"Junior Men 3/4/5"	,2016-09-17,""
7,49, 1, 1,"Michael"	,"Fee"	,"3"	,"GP: Zaaldercross"	,"Masters 35+ Category 3"	,2016-09-17,""
7,36, 1, 1,"Rob"	,"Felt"	,"5"	,"GPTB: David Douglas CX #1"	,"Beginner Men"	,2012-09-01,""
3,10, 1, 1,"Jurgen"	,"Fennerl"	,"3"	,"Redmond Golf Cross"	,"Masters 35+ B"	,2013-11-30,""
19, ?, 0, 0,"Jurgen"	,"Fennerl"	,"2"	,"MBSEF Thrilla Cyclocross Series"	,"Men A 35+"	,2015-09-02,"PREMATURELY UPGRADED TO 2 WITH 0 POINTS"
5,27, 0, 0,"Jurgen"	,"Fennerl"	,"2"	,"Ride Hard Finish Thirsty"	,"Masters Men B 35+"	,2015-09-20,"NO POINTS FOR RACING BELOW CATEGORY"
3,22, 0, 0,"Jurgen"	,"Fennerl"	,"2"	,"Pedalers at the Poor Farm"	,"Masters 35+ B"	,2015-11-07,"NO POINTS FOR RACING BELOW CATEGORY"
6,27, 0, 0,"Jurgen"	,"Fennerl"	,"2"	,"MBSEF Thrilla Cyclocross Series"	,"Masters 35+ 3"	,2016-08-31,"NO POINTS FOR RACING BELOW CATEGORY"
9, ?, 0, 0,"Jurgen"	,"Fennerl"	,"3"	,"MBSEF Thrilla Cyclocross Series"	,"Masters 35+ 3"	,2016-09-14,"DOWNGRADED TO 3"
2,23, 4, 4,"Joseph"	,"Ferron"	,"3"	,"Blind Date at the Dairy"	,"Men B"	,2012-09-26,""
2,18, 4, 8,"Joseph"	,"Ferron"	,"3"	,"Fazio Farms CX p/b Ironclad "	,"Category B"	,2012-09-29,""
1,14, 3,11,"Joseph"	,"Ferron"	,"3"	,"Blind Date at the Dairy"	,"Men B"	,2012-10-03,""
55, ?, 0, 0,"Joseph"	,"Ferron"	,"2"	,"Alpenrose"	,"Category A"	,2012-10-07,"PREMATURELY UPGRADED TO 2 WITH 11 POINTS"
3,22, 3, 3,"Forrest"	,"Fidler"	,"5"	,"CrossWord CX Challenge p/b Western Bikeworks"	,"Beginner Men"	,2014-10-18,""
6,42, 2, 5,"Forrest"	,"Fidler"	,"5"	,"Kruger's Crossing CX"	,"Beginner Men"	,2014-11-23,""
6,56, 3, 3,"Jo"	,"Fidler"	,"4"	,"Alpenrose"	,"Women C"	,2012-10-07,""
5,24, 3, 6,"Jo"	,"Fidler"	,"4"	,"Blind Date at the Dairy"	,"Women C"	,2012-10-10,""
8,55, 1, 7,"Jo"	,"Fidler"	,"4"	,"PIR (Heron Lakes)"	,"Women C"	,2012-10-21,""
17, ?, 0, 0,"Jo"	,"Fidler"	,"3"	,"Blind Date at the Dairy"	,"Women B"	,2013-09-18,"UPGRADED TO 3 WITH 7 POINTS"
7,25, 1, 1,"Jo"	,"Fidler"	,"3"	,"WA County Fairgrounds"	,"Women B"	,2014-10-26,""
5,15, 1, 2,"Jo"	,"Fidler"	,"3"	,"Rapha Portland Trophy Cup"	,"Women B"	,2015-09-22,""
3,14, 3, 5,"Jo"	,"Fidler"	,"3"	,"Rapha Portland Trophy Cup"	,"Women B"	,2015-09-29,""
5,11, 1, 6,"Jo"	,"Fidler"	,"3"	,"Blind Date at the Dairy"	,"Women B"	,2015-09-30,""
1,10, 3, 9,"Jo"	,"Fidler"	,"3"	,"GPRM 2015: Heiser Farm"	,"Masters Women 35+ B"	,2015-10-03,""
2,13, 4,13,"Jo"	,"Fidler"	,"3"	,"Rapha Portland Trophy Cup"	,"Women B"	,2015-10-06,""
5,13, 1,14,"Jo"	,"Fidler"	,"3"	,"Blind Date at the Dairy"	,"Women B"	,2015-10-14,""
