Place, Starters, Points, Points Total, First Name, Last Name, Category, Event, Race, Date, Notes
3,63, 7,18,"Rolland"	,"Hayden"	,"4"	,"Heiser Farms CX"	,"Masters 35+ C"	,2014-10-04,""
1,79,10,28,"Rolland"	,"Hayden"	,"4"	,"Blind Date at the Dairy"	,"Masters Men C 35+"	,2014-10-08,"NEEDS UPGRADE"
99, ?, 0, 0,"Rolland"	,"Hayden"	,"3"	,"Heron Lakes"	,"Masters 35+ B"	,2014-10-19,"UPGRADED TO 3 WITH 28 POINTS"
5,81, 4, 4,"Adam"	,"Hayner"	,"5"	,"PIR Infield"	,"Beginner Men"	,2014-11-09,""
5, ?, 0, 0,"Adam"	,"Hayner"	,"4"	,"Santa Cross"	,"Men C"	,2014-12-06,"UPGRADED TO 4 WITH 4 POINTS"
5,24, 1, 1,"Adam"	,"Hayner"	,"5"	,"GPCM: DDCX"	,"Men 5"	,2017-09-02,"DOWNGRADED TO 5"
2,54, 6, 7,"Adam"	,"Hayner"	,"5"	,"Alpenrose Dairy #2"	,"Men 5"	,2017-10-08,""
7,55, 1, 8,"Adam"	,"Hayner"	,"5"	,"Cascade Locks"	,"Men 5"	,2017-10-15,""
3,21, 3,11,"Adam"	,"Hayner"	,"5"	,"CrossWord CX Challenge"	,"Men 5"	,2017-10-21,""
7,75, 2,13,"Adam"	,"Hayner"	,"5"	,"Bend"	,"Men 5"	,2017-10-28,""
2,64, 8,21,"Adam"	,"Hayner"	,"5"	,"Bend"	,"Men 5"	,2017-10-29,"NEEDS UPGRADE"
22, ?, 0, 0,"Adam"	,"Hayner"	,"4"	,"Wooden Shoe"	,"Men 4"	,2017-11-05,"UPGRADED TO 4 WITH 21 POINTS"
3,23, 3, 3,"Curtis"	,"Haynie"	,"4"	,"Cooper Spur Cyclocross"	,"Masters 35+ C"	,2015-10-04,""
6,118, 3, 3,"Curtis"	,"Haynie"	,"4"	,"River City Bicycles Cyclocross Crusade"	,"Masters 35+ 4"	,2016-11-06,""
9, ?, 0, 0,"Curtis"	,"Haynie"	,"3"	,"Cross on the Mountain"	,"Masters 35+ Category 3"	,2017-10-01,"UPGRADED TO 3 WITH 3 POINTS"
3,24, 3, 3,"Trevor"	,"Hayward"	,"5"	,"GPCM: DDCX"	,"Men 5"	,2017-09-02,""
3,46, 5, 5,"Trevor"	,"Hayward"	,"4"	,"GPCM: Zaaldercross"	,"Masters 35+ 4"	,2017-09-16,"UPGRADED TO 4 WITH 3 POINTS"
1,53, 7,12,"Trevor"	,"Hayward"	,"4"	,"David Douglas"	,"Masters 35+ 4"	,2018-09-01,""
3,12, 3, 3,"Sara"	,"Headley"	,"5"	,"Blind Date at the Dairy"	,"Beginner Women"	,2015-09-30,""
7,21, 1, 4,"Sara"	,"Headley"	,"5"	,"Blind Date at the Dairy"	,"Beginner Women"	,2015-10-14,""
3,26, 5, 9,"Sara"	,"Headley"	,"5"	,"Cascade Locks"	,"Beginner Women"	,2015-10-18,""
2, ?, 0, 0,"Sara"	,"Headley"	,"3"	,"Washougal CX"	,"Masters Women 35+ B"	,2015-10-24,"UPGRADED TO 3 WITH 9 POINTS"
1, 6, 3, 3,"Sara"	,"Headley"	,"3"	,"Kruger's Crossing CX"	,"Masters Women 35+ B"	,2015-11-22,""
4,12, 0, 3,"Sara"	,"Headley"	,"3"	,"Battle at Barlow"	,"Women 4"	,2016-09-25,"NO POINTS FOR RACING BELOW CATEGORY"
3,29, 0, 3,"Sara"	,"Headley"	,"3"	,"River City Bicycles Cyclocross Crusade"	,"Women 4"	,2016-10-08,"NO POINTS FOR RACING BELOW CATEGORY"
5,28, 0, 3,"Sara"	,"Headley"	,"3"	,"River City Bicycles Cyclocross Crusade"	,"Women 4"	,2016-10-09,"NO POINTS FOR RACING BELOW CATEGORY"
2,15, 0, 3,"Sara"	,"Headley"	,"3"	,"CrossWord CX Challenge"	,"Women 4"	,2016-10-22,"NO POINTS FOR RACING BELOW CATEGORY"
3, 6, 1, 1,"Sara"	,"Headley"	,"4"	,"Washougal CX"	,"Women 4"	,2016-10-23,"DOWNGRADED TO 4"
5,42, 3, 4,"Sara"	,"Headley"	,"4"	,"River City Bicycles Cyclocross Crusade"	,"Women 4"	,2016-10-29,""
5,36, 3, 7,"Sara"	,"Headley"	,"4"	,"River City Bicycles Cyclocross Crusade"	,"Women 4"	,2016-10-30,""
10, ?, 0, 0,"Sara"	,"Headley"	,"3"	,"River City Bicycles Cyclocross Crusade"	,"Women 3"	,2016-11-06,"UPGRADED TO 3 WITH 7 POINTS"
3, 7, 1, 1,"Sara"	,"Headley"	,"3"	,"OBRA State Champs at Corn Cross"	,"Women 3"	,2016-11-19,""
3, 9, 1, 2,"Sara"	,"Headley"	,"3"	,"Battle at Barlow"	,"Women 3"	,2017-09-24,""
5,62, 4, 4,"Zach"	,"Heath"	,"3"	,"Deschutes Brewery"	,"Category B"	,2012-10-27,""
52, ?, 0, 0,"Zach"	,"Heath"	,"2"	,"Alpenrose Dairy"	,"Category A"	,2013-10-06,"PREMATURELY UPGRADED TO 2 WITH 4 POINTS"
4,14, 2, 2,"Sarah"	,"Heckles"	,"5"	,"Blind Date at the Dairy"	,"Beginner Women"	,2014-09-10,""
15, ?, 0, 0,"Sarah"	,"Heckles"	,"4"	,"Blind Date at the Dairy"	,"Women C"	,2014-09-17,"UPGRADED TO 4 WITH 2 POINTS"
5,12, 1, 1,"Sarah"	,"Heckles"	,"4"	,"Blind Date at the Dairy"	,"Women C"	,2015-09-30,""
4,12, 2, 3,"Sarah"	,"Heckles"	,"4"	,"CrossWord CX Challenge p/b Western Bikeworks"	,"Women C"	,2015-10-17,""
2,38, 6, 6,"Max"	,"Heckscher"	,"4"	,"PIR: Heron Lakes"	,"Men 4"	,2017-10-22,""
2,81, 8,14,"Max"	,"Heckscher"	,"4"	,"Barton Park"	,"Masters 35+ 4"	,2017-11-12,""
57, ?, 0, 0,"Max"	,"Heckscher"	,"3"	,"Alpenrose Dairy Day 2"	,"Masters 35+ Category 3"	,2018-10-07,"UPGRADED TO 3 WITH 14 POINTS"
1,44, 7, 7,"David"	,"Heddy"	,"4"	,"GPTB: David Douglas CX #1"	,"Category C"	,2012-09-01,""
5,28, 3, 3,"David"	,"Heddy"	,"3"	,"GPTB: Het Meer CX Race"	,"Men B"	,2012-09-09,"UPGRADED TO 3 WITH 7 POINTS"
6,31, 2, 5,"David"	,"Heddy"	,"3"	,"GPTB: Double Cross"	,"Category B"	,2012-09-15,""
4,19, 2, 7,"David"	,"Heddy"	,"3"	,"GPTB: Zaandercross at Frenchmans Bar"	,"Category B"	,2012-09-22,""
2,13, 2, 9,"David"	,"Heddy"	,"3"	,"GPTB: Ninkrossi"	,"Category B"	,2012-10-13,""
1,12, 3,12,"David"	,"Heddy"	,"3"	,"GPTB: David Douglas CX #2"	,"Category B"	,2012-10-27,""
2,54, 6,18,"David"	,"Heddy"	,"3"	,"PIR (Pro Paddock)"	,"Category B"	,2012-11-18,""
1,11, 3,21,"David"	,"Heddy"	,"3"	,"GPTB: Winter Cross"	,"Category B"	,2012-12-02,"NEEDS UPGRADE"
23, ?, 0, 0,"David"	,"Heddy"	,"2"	,"David Douglas CX #1"	,"Category A"	,2013-08-31,"UPGRADED TO 2 WITH 21 POINTS"
5,30, 3, 3,"Mike"	,"Heenan"	,"3"	,"Rapha Trophy Cup p/b Western Bikeworks"	,"Masters Men B 40+"	,2014-09-02,""
4,19, 2, 5,"Mike"	,"Heenan"	,"3"	,"Fazio Farms"	,"Masters 35+ B"	,2014-09-07,""
4,56, 4, 9,"Mike"	,"Heenan"	,"3"	,"Hood River Double Cross"	,"Masters 35+ B"	,2014-09-13,""
4,119, 5,14,"Mike"	,"Heenan"	,"3"	,"Alpenrose"	,"Masters 35+ B"	,2014-10-12,""
3,111, 7,21,"Mike"	,"Heenan"	,"3"	,"WA County Fairgrounds"	,"Masters 35+ B"	,2014-10-26,"NEEDS UPGRADE"
44, ?, 0, 0,"Mike"	,"Heenan"	,"2"	,"Deschutes Brewery"	,"Masters 35+ A"	,2014-11-01,"UPGRADED TO 2 WITH 21 POINTS"
38, ?, 0, 0,"Mike"	,"Heenan"	,"3"	,"GP: David Douglas CX"	,"Masters 35+ Category 3"	,2016-09-03,"DOWNGRADED TO 3"
1,65,10,10,"Mike"	,"Heenan"	,"3"	,"Blind Date at the Dairy"	,"Masters Men 3/4 40+"	,2017-09-20,""
6,71, 3,13,"Mike"	,"Heenan"	,"3"	,"Blind Date at the Dairy"	,"Masters Men 3/4 40+"	,2017-10-04,""
6,21, 2, 2,"Shellie"	,"Heggenberger"	,"3"	,"Deschutes Brewery"	,"Masters Women 35+ B"	,2013-10-26,""
5,13, 1, 1,"Shellie"	,"Heggenberger"	,"3"	,"Cascade Locks"	,"Masters Women 35+ B"	,2015-10-18,""
6,70, 3, 3,"Bradley"	,"Heintz"	,"5"	,"Blind Date at the Dairy"	,"Beginner Men"	,2012-09-26,""
104, ?, 0, 0,"Bradley"	,"Heintz"	,"3"	,"Alpenrose"	,"Masters 35+ B"	,2012-10-07,"UPGRADED TO 3 WITH 3 POINTS"
7,27, 1, 1,"Scott"	,"Heinz"	,"4"	,"Fazio Farms CX p/b Ironclad "	,"Category C"	,2012-09-29,""
4,42, 4, 5,"Scott"	,"Heinz"	,"4"	,"Blind Date at the Dairy"	,"Men C"	,2012-10-10,""
7,43, 1, 6,"Scott"	,"Heinz"	,"4"	,"Blind Date at the Dairy"	,"Men C"	,2012-10-17,""
5,33, 3, 9,"Scott"	,"Heinz"	,"4"	,"Kruger's Crossing Cyclocross Classic"	,"Category C"	,2012-11-17,""
3,53, 5, 5,"Scott"	,"Heinz"	,"4"	,"Blind Date at the Dairy"	,"Men C"	,2014-09-10,""
8, ?, 0, 0,"Scott"	,"Heinz"	,"3"	,"Rapha Portland Trophy Cup"	,"Men B"	,2015-09-29,"UPGRADED TO 3 WITH 0 POINTS"
1,12, 5, 5,"Alana"	,"Heise"	,"3"	,"Barton Park"	,"Masters Women 35+ B"	,2013-11-17,""
3, 7, 1, 1,"Laura"	,"Heiser"	,"5"	,"David Douglas CX #2"	,"Beginner Women"	,2013-10-26,""
1,30, 7, 7,"Marc"	,"Heisterkamp"	,"5"	,"Hood River Double Cross"	,"Beginner Men"	,2013-09-14,""
4,55, 4,11,"Marc"	,"Heisterkamp"	,"5"	,"Blind Date at the Dairy"	,"Beginner Men"	,2013-09-18,""
2,50, 6,17,"Marc"	,"Heisterkamp"	,"5"	,"Zaandercross "	,"Beginner Men"	,2013-09-21,""
1,38, 7,24,"Marc"	,"Heisterkamp"	,"5"	,"Ninkrossi"	,"Beginner Men"	,2013-09-28,"NEEDS UPGRADE"
54, ?, 0, 0,"Marc"	,"Heisterkamp"	,"4"	,"Alpenrose Dairy"	,"Category C"	,2013-10-06,"UPGRADED TO 4 WITH 24 POINTS"
4,95, 5, 5,"Marc"	,"Heisterkamp"	,"4"	,"PIR Heron Lakes"	,"Category C"	,2013-10-20,""
1,62,10,15,"Marc"	,"Heisterkamp"	,"4"	,"Barton Park"	,"Category C"	,2013-11-17,""
5,23, 1,16,"Marc"	,"Heisterkamp"	,"4"	,"Winter Cross"	,"Category C"	,2013-12-01,""
4,39, 4,20,"Marc"	,"Heisterkamp"	,"4"	,"Zaaldercross"	,"Category C"	,2014-09-20,"NEEDS UPGRADE"
6,29, 2,22,"Marc"	,"Heisterkamp"	,"4"	,"Rapha Trophy Cup p/b Western Bikeworks"	,"Men C"	,2014-10-07,"NEEDS UPGRADE"
1,33, 7, 7,"Garrett"	,"Helm"	,"5"	,"Portland Trophy Cup"	,"Men 5"	,2016-09-27,""
11, ?, 0, 0,"Garrett"	,"Helm"	,"4"	,"Blind Date at the Dairy"	,"Category 3/4 Men"	,2017-09-13,"UPGRADED TO 4 WITH 7 POINTS"
1,12, 3, 3,"Garrett"	,"Helm"	,"4"	,"GPCM: Zaaldercross"	,"Men 4"	,2017-09-16,""
2,11, 2, 2,"Dustin"	,"Henderson"	,"4"	,"MBSEF Thrilla Cyclocross Series"	,"Men C"	,2015-09-02,""
5,17, 1, 3,"Dustin"	,"Henderson"	,"4"	,"MBSEF Thrilla Cyclocross Series"	,"Men C"	,2015-09-16,""
6,34, 2, 5,"Dustin"	,"Henderson"	,"4"	,"GPRM 2015: Zaaldercross"	,"Category C"	,2015-09-19,""
2,11, 2, 7,"Dustin"	,"Henderson"	,"4"	,"MBSEF Thrilla Cyclocross Series"	,"Men C"	,2015-09-23,""
3,21, 3,10,"Dustin"	,"Henderson"	,"4"	,"GPRM 2015: Heiser Farm"	,"Category C"	,2015-10-03,""
7,99, 2,12,"Dustin"	,"Henderson"	,"4"	,"Alpenrose"	,"Category C"	,2015-10-10,""
6,86, 3,15,"Dustin"	,"Henderson"	,"4"	,"Alpenrose"	,"Category C"	,2015-10-11,""
2,70, 8,23,"Dustin"	,"Henderson"	,"4"	,"Cascade Locks"	,"Category C"	,2015-10-18,"NEEDS UPGRADE"
19, ?, 0, 0,"Dustin"	,"Henderson"	,"3"	,"Washougal CX"	,"Masters 35+ B"	,2015-10-24,"UPGRADED TO 3 WITH 23 POINTS"
4,60, 4, 4,"Dustin"	,"Henderson"	,"3"	,"Blind Date at the Dairy"	,"Men 3/4"	,2016-09-07,""
6,85, 3, 7,"Dustin"	,"Henderson"	,"3"	,"River City Bicycles Cyclocross Crusade"	,"Masters 35+ Category 3"	,2016-10-08,""
1,77,10,17,"Dustin"	,"Henderson"	,"3"	,"River City Bicycles Cyclocross Crusade"	,"Masters 35+ Category 3"	,2016-10-09,""
1,57, 7,24,"Dustin"	,"Henderson"	,"3"	,"River City Bicycles Cyclocross Crusade"	,"Masters 35+ Category 3"	,2016-10-15,"NEEDS UPGRADE"
1,53, 7,31,"Dustin"	,"Henderson"	,"3"	,"River City Bicycles Cyclocross Crusade"	,"Masters 35+ Category 3"	,2016-10-16,"NEEDS UPGRADE"
7,73, 2, 2,"Dustin"	,"Henderson"	,"2"	,"River City Bicycles Cyclocross Crusade"	,"Men 2/3"	,2016-10-30,"UPGRADED TO 2 WITH 31 POINTS"
4,35, 4, 4,"Dustin"	,"Henderson"	,"2"	,"David Douglas"	,"Men 2/3"	,2018-09-01,""
1,13, 3, 7,"Dustin"	,"Henderson"	,"2"	,"Blind Date at the Dairy"	,"Masters Men 2/3 40+"	,2018-09-05,""
5,43, 3,10,"Dustin"	,"Henderson"	,"2"	,"Het Meer"	,"Men 2/3"	,2018-09-08,""
5,46, 3,13,"Dustin"	,"Henderson"	,"2"	,"Zaaldercross"	,"Men 2/3"	,2018-09-15,""
2,37, 6,19,"Dustin"	,"Henderson"	,"2"	,"Heiser Farm"	,"Men 2/3"	,2018-09-29,""
3,16, 3, 3,"Holly"	,"Henderson"	,"5"	,"Blind Date at the Dairy"	,"Beginner Women"	,2013-09-25,""
2,16, 4, 7,"Holly"	,"Henderson"	,"5"	,"Blind Date at the Dairy"	,"Beginner Women"	,2013-10-02,""
1,21, 7,14,"Holly"	,"Henderson"	,"5"	,"Rainier"	,"Beginner Women"	,2013-10-13,""
1,21, 7,21,"Holly"	,"Henderson"	,"5"	,"Blind Date at the Dairy"	,"Beginner Women"	,2013-10-16,"NEEDS UPGRADE"
1,43, 7, 7,"Holly"	,"Henderson"	,"4"	,"Washington County Fair Complex"	,"Women C"	,2013-11-03,"UPGRADED TO 4 WITH 21 POINTS"
1,30, 7,14,"Holly"	,"Henderson"	,"4"	,"Barton Park"	,"Women C"	,2013-11-17,""
7, ?, 0, 0,"Holly"	,"Henderson"	,"3"	,"Kruger's Crossing Cyclocross Classic"	,"Women B"	,2013-11-24,"UPGRADED TO 3 WITH 14 POINTS"
6,22, 2, 2,"Holly"	,"Henderson"	,"3"	,"Blind Date at the Dairy"	,"Women B"	,2014-09-17,""
1,21, 7, 9,"Holly"	,"Henderson"	,"3"	,"Blind Date at the Dairy"	,"Women B"	,2014-09-24,""
2, 6, 2,11,"Holly"	,"Henderson"	,"3"	,"Rapha Trophy Cup p/b Western Bikeworks"	,"Women B"	,2014-09-30,""
4,14, 2,13,"Holly"	,"Henderson"	,"3"	,"Rapha Trophy Cup p/b Western Bikeworks"	,"Women B"	,2014-10-07,""
1,16, 5,18,"Holly"	,"Henderson"	,"3"	,"Blind Date at the Dairy"	,"Women B"	,2014-10-08,""
6,29, 2,20,"Holly"	,"Henderson"	,"3"	,"Alpenrose"	,"Women B"	,2014-10-12,"NEEDS UPGRADE"
7,84, 2,22,"Holly"	,"Henderson"	,"3"	,"WA County Fairgrounds"	,"Beginner Men"	,2014-10-26,"NEEDS UPGRADE"
2,22, 6,28,"Holly"	,"Henderson"	,"3"	,"Barton Park"	,"Women B"	,2014-11-16,"NEEDS UPGRADE"
5, ?, 0, 0,"Holly"	,"Henderson"	,"2"	,"Kruger's Kermesse Farm Crit"	,"Women A"	,2015-08-30,"UPGRADED TO 2 WITH 28 POINTS"
5,11, 1, 1,"Holly"	,"Henderson"	,"2"	,"Blind Date at the Dairy"	,"Women A"	,2015-09-30,""
4,12, 2, 3,"Holly"	,"Henderson"	,"2"	,"Blind Date at the Dairy"	,"Women A"	,2015-10-14,""
5,33, 3, 3,"Tre"	,"Hendricks"	,"1/2"	,"Double Cross"	,"Masters 35+ A"	,2012-09-16,""
2,16, 4, 7,"Tre"	,"Hendricks"	,"1/2"	,"Canby Cross-Word CX Challenge"	,"Masters 35+ A"	,2012-10-20,""
4,34, 4,11,"Tre"	,"Hendricks"	,"1/2"	,"GPTB: Pedalers At The Poor Farm CX @ Edgefield"	,"Masters 35+ A"	,2012-11-10,""
7,62, 2,13,"Tre"	,"Hendricks"	,"1/2"	,"Washington County Fair Complex"	,"Masters 35+ A"	,2012-11-11,""
8,88, 1,14,"Tre"	,"Hendricks"	,"1/2"	,"PIR (Pro Paddock)"	,"Masters 35+ A"	,2012-11-18,""
6,36, 2,16,"Tre"	,"Hendricks"	,"1/2"	,"Hood River Double Cross"	,"Masters 35+ A"	,2013-09-15,""
4,40, 4,17,"Tre"	,"Hendricks"	,"1/2"	,"Battle At Barlow"	,"Masters 35+ A"	,2013-09-29,""
6,98, 3,20,"Tre"	,"Hendricks"	,"1/2"	,"Alpenrose Dairy"	,"Masters 35+ A"	,2013-10-06,""
9, ?, 0, 0,"Tre"	,"Hendricks"	,"1"	,"PIR Heron Lakes"	,"Masters 35+ A"	,2013-10-20,"UPGRADED TO 1 WITH 20 POINTS"
4,77, 5, 5,"Tre"	,"Hendricks"	,"1"	,"Deschutes Brewery"	,"Masters 35+ A"	,2013-10-26,""
4,61, 5,10,"Tre"	,"Hendricks"	,"1"	,"Deschutes Brewery"	,"Masters 35+ A"	,2013-10-27,""
4,73, 5,15,"Tre"	,"Hendricks"	,"1"	,"Washington County Fair Complex"	,"Masters 35+ A"	,2013-11-03,""
5,81, 4,19,"Tre"	,"Hendricks"	,"1"	,"PIR Infield"	,"Masters 35+ A"	,2013-11-10,""
4,64, 5,24,"Tre"	,"Hendricks"	,"1"	,"Barton Park"	,"Masters 35+ A"	,2013-11-17,""
6,84, 3,27,"Tre"	,"Hendricks"	,"1"	,"Alpenrose"	,"Masters 35+ A"	,2014-10-12,""
5,71, 4,31,"Tre"	,"Hendricks"	,"1"	,"WA County Fairgrounds"	,"Masters 35+ A"	,2014-10-26,""
4,28, 4,11,"Tre"	,"Hendricks"	,"1"	,"Cooper Spur Cyclocross"	,"Masters 35+ A"	,2015-10-04,""
8,75, 1, 5,"Tre"	,"Hendricks"	,"1"	,"Portland International Raceway"	,"Masters 35+ A"	,2015-11-14,""
6,30, 2, 7,"Tre"	,"Hendricks"	,"1"	,"OBRA Cyclocross Championships p/b City of Sandy"	,"Masters 35+ A"	,2015-11-21,""
21, ?, 0, 0,"Tre"	,"Hendricks"	,"2"	,"GPCM: DDCX"	,"Men 2/3"	,2017-09-02,"DOWNGRADED TO 2"
1,29, 7, 7,"Walker"	,"Hendricks"	,"3/4/5"	,"GP: Het Meer CX"	,"Junior Men 3/4/5"	,2016-09-10,""
1,42, 7,14,"Walker"	,"Hendricks"	,"3/4/5"	,"GP: Zaaldercross"	,"Junior Men 3/4/5"	,2016-09-17,""
3,57, 7,21,"Walker"	,"Hendricks"	,"3/4/5"	,"River City Bicycles Cyclocross Crusade"	,"Junior Men 3/4/5"	,2016-10-08,"NEEDS UPGRADE"
1,51,10,10,"Walker"	,"Hendricks"	,"4"	,"River City Bicycles Cyclocross Crusade"	,"Junior Men 3/4/5"	,2016-10-09,"UPGRADED TO 4 WITH 21 POINTS"
3,52, 7,17,"Walker"	,"Hendricks"	,"4"	,"River City Bicycles Cyclocross Crusade"	,"Junior Men 3/4/5"	,2016-10-15,""
2,37, 6,23,"Walker"	,"Hendricks"	,"4"	,"River City Bicycles Cyclocross Crusade"	,"Junior Men 3/4/5"	,2016-10-16,"NEEDS UPGRADE"
1,71,10,10,"Walker"	,"Hendricks"	,"3"	,"River City Bicycles Cyclocross Crusade"	,"Junior Men 3/4/5"	,2016-10-29,"UPGRADED TO 3 WITH 23 POINTS"
1,76,10,20,"Walker"	,"Hendricks"	,"3"	,"River City Bicycles Cyclocross Crusade"	,"Junior Men 3/4/5"	,2016-10-30,"NEEDS UPGRADE"
3,64, 7,27,"Walker"	,"Hendricks"	,"3"	,"River City Bicycles Cyclocross Crusade"	,"Junior Men 3/4/5"	,2016-11-06,"NEEDS UPGRADE"
1,67,10,37,"Walker"	,"Hendricks"	,"3"	,"River City Bicycles Cyclocross Crusade"	,"Junior Men 3/4/5"	,2016-11-13,"NEEDS UPGRADE"
1,52,10,47,"Walker"	,"Hendricks"	,"3"	,"OBRA State Champs at Corn Cross"	,"Junior Men 3/4/5"	,2016-11-19,"NEEDS UPGRADE"
17, ?, 0, 0,"Walker"	,"Hendricks"	,"2"	,"GPCM: DDCX"	,"Men 2/3"	,2017-09-02,"UPGRADED TO 2 WITH 47 POINTS"
7,45, 1, 1,"Walker"	,"Hendricks"	,"2"	,"Wooden Shoe"	,"Men 2/3"	,2017-11-05,""
1,98,10,10,"Jason"	,"Hendrickson"	,"3"	,"Bend"	,"Masters 35+ Category 3"	,2017-10-28,""
1,84,10,20,"Jason"	,"Hendrickson"	,"3"	,"Bend"	,"Masters 35+ Category 3"	,2017-10-29,"NEEDS UPGRADE"
5,21, 1, 1,"Kyle"	,"Henley"	,"4/5"	,"Twilight Cyclocross"	,"Men 4/5"	,2017-09-12,""
7,21, 1, 1,"Karen"	,"Henry"	,"3"	,"Alpenrose Dairy"	,"Masters Women 35+ B"	,2013-10-06,""
6,31, 2, 2,"Mike"	,"Henry"	,"1/2"	,"GPTB: Het Meer CX Race"	,"Masters 35+ A"	,2012-09-09,""
4,28, 4, 6,"Mike"	,"Henry"	,"1/2"	,"GPTB: Heiser Farm CX"	,"Masters 35+ A"	,2012-10-06,""
7,57, 1, 7,"Mike"	,"Henry"	,"1/2"	,"Deschutes Brewery"	,"Masters 35+ A"	,2012-10-28,""
2,10, 2, 9,"Mike"	,"Henry"	,"1/2"	,"Kruger's Crossing Cyclocross Classic"	,"Masters 35+ A"	,2012-11-17,""
2,30, 6,15,"Mike"	,"Henry"	,"1/2"	,"GPTB: Winter Cross"	,"Masters 35+ A"	,2012-12-02,""
7,49, 1,16,"Mike"	,"Henry"	,"1/2"	,"Hood River Double Cross"	,"Masters 35+ A"	,2013-09-14,""
5,36, 3,19,"Mike"	,"Henry"	,"1/2"	,"Hood River Double Cross"	,"Masters 35+ A"	,2013-09-15,""
2,35, 6,23,"Mike"	,"Henry"	,"1/2"	,"Zaandercross "	,"Masters 35+ A"	,2013-09-21,""
1,15, 3, 3,"Mike"	,"Henry"	,"1"	,"Fazio Farms"	,"Masters 35+ A"	,2013-09-22,"UPGRADED TO 1 WITH 23 POINTS"
5,34, 3, 6,"Mike"	,"Henry"	,"1"	,"Ninkrossi"	,"Masters 35+ A"	,2013-09-28,""
7,40, 1, 7,"Mike"	,"Henry"	,"1"	,"Battle At Barlow"	,"Masters 35+ A"	,2013-09-29,""
1,24, 5,12,"Mike"	,"Henry"	,"1"	,"Heiser Farm CX"	,"Masters 35+ A"	,2013-10-05,""
3,98, 7,19,"Mike"	,"Henry"	,"1"	,"Alpenrose Dairy"	,"Masters 35+ A"	,2013-10-06,""
7,85, 2,21,"Mike"	,"Henry"	,"1"	,"Rainier"	,"Masters 35+ A"	,2013-10-13,""
3,14, 1,22,"Mike"	,"Henry"	,"1"	,"Cross-Word CX Challenge"	,"Masters 35+ A"	,2013-10-19,""
2,94, 8,30,"Mike"	,"Henry"	,"1"	,"PIR Heron Lakes"	,"Masters 35+ A"	,2013-10-20,""
4,31, 4,34,"Mike"	,"Henry"	,"1"	,"David Douglas CX #2"	,"Masters 35+ A"	,2013-10-26,""
7,61, 2,36,"Mike"	,"Henry"	,"1"	,"Deschutes Brewery"	,"Masters 35+ A"	,2013-10-27,""
8,73, 1,37,"Mike"	,"Henry"	,"1"	,"Washington County Fair Complex"	,"Masters 35+ A"	,2013-11-03,""
4,40, 4,41,"Mike"	,"Henry"	,"1"	,"OBRA CX Championships: GPET: Pedalers At The Poor Farm CX @ Edgefield"	,"Masters 35+ A"	,2013-11-09,""
4,81, 5,46,"Mike"	,"Henry"	,"1"	,"PIR Infield"	,"Masters 35+ A"	,2013-11-10,""
1,13, 3,49,"Mike"	,"Henry"	,"1"	,"Fazio Farms CX Part Deux"	,"Masters 35+ A"	,2013-11-16,""
1,64,10,59,"Mike"	,"Henry"	,"1"	,"Barton Park"	,"Masters 35+ A"	,2013-11-17,""
1,36, 7,66,"Mike"	,"Henry"	,"1"	,"Kruger's Crossing Cyclocross Classic"	,"Masters 35+ A"	,2013-11-24,""
5,27, 3,69,"Mike"	,"Henry"	,"1"	,"Winter Cross"	,"Masters 35+ A"	,2013-12-01,""
7,32, 1,70,"Mike"	,"Henry"	,"1"	,"Deschutes Brewery"	,"Masters 35+ A"	,2013-12-08,""
2,13, 2,72,"Mike"	,"Henry"	,"1"	,"Santa Cross"	,"Masters Men 35+ A"	,2013-12-14,""
2,18, 4,76,"Mike"	,"Henry"	,"1"	,"Kruger's Kermesse Farm Crit"	,"Masters Men A 35+"	,2014-08-24,""
1,39, 7,83,"Mike"	,"Henry"	,"1"	,"DDCX 1"	,"Masters 35+ A"	,2014-08-30,""
1,38, 7,90,"Mike"	,"Henry"	,"1"	,"Het Meer"	,"Masters 35+ A"	,2014-09-06,""
1,17, 5,76,"Mike"	,"Henry"	,"1"	,"CrossWord CX Challenge p/b Western Bikeworks"	,"Masters Men 35+ A"	,2014-10-18,""
2,98, 8,84,"Mike"	,"Henry"	,"1"	,"Heron Lakes"	,"Masters 35+ A"	,2014-10-19,""
3,72, 7,80,"Mike"	,"Henry"	,"1"	,"Deschutes Brewery"	,"Masters 35+ A"	,2014-11-01,""
7,61, 2,82,"Mike"	,"Henry"	,"1"	,"Deschutes Brewery"	,"Masters 35+ A"	,2014-11-02,""
3,46, 5,81,"Mike"	,"Henry"	,"1"	,"OBRA Cyclocross Championships: Peddlars at the Poor Farm"	,"Masters 35+ A"	,2014-11-08,""
7,86, 2,83,"Mike"	,"Henry"	,"1"	,"PIR Infield"	,"Masters 35+ A"	,2014-11-09,""
1,39, 7,80,"Mike"	,"Henry"	,"1"	,"Kruger's Crossing CX"	,"Masters 35+ A"	,2014-11-23,""
1,23, 5,72,"Mike"	,"Henry"	,"1"	,"Winter CX"	,"Masters Men A 35+"	,2014-11-30,""
4,23, 2,61,"Mike"	,"Henry"	,"1"	,"Kruger's Kermesse Farm Crit"	,"Masters Men A 35+"	,2015-08-30,""
2,37, 6,63,"Mike"	,"Henry"	,"1"	,"GPRM 2015: DDCX"	,"Masters 35+ A"	,2015-09-05,""
